"Order","Raw p value","Bonferroni-adjusted p value"
"Acholeplasmatales","7.81265688500451e-05","0.00179691108355104"
"Bacillales","0.33789470042481","1"
"Bacteroidales","5.38648848785721e-06","0.000123889235220716"
"Burkholderiales","0.572000957108748","1"
"Chlamydiales","0.33789470042481","1"
"Christensenellales","0.000567329272785837","0.0130485732740742"
"Clostridiales","7.9900065663243e-09","1.83770151025459e-07"
"Coriobacteriales","0.0192011860500471","0.441627279151083"
"Corynebacteriales","0.33789470042481","1"
"Desulfovibrionales","0.33789470042481","1"
"Erysipelotrichales","0.407115953422494","1"
"Exiguobacterales","0.33789470042481","1"
"Lachnospirales","0.560083049554513","1"
"Lactobacillales","2.74461405162902e-05","0.000631261231874675"
"Micrococcales","0.987328665683802","1"
"Monoglobales","0.630998003515649","1"
"Oscillospirales","0.926767514801739","1"
"Peptococcales","0.846132512586467","1"
"Peptostreptococcales-Tissierellales","7.52423660326611e-08","1.7305744187512e-06"
"Staphylococcales","3.79438090003214e-06","8.72707607007392e-05"
"Streptosporangiales","0.161691677670481","1"
"Thermomicrobiales","0.33789470042481","1"
"Verrucomicrobiales","0.057741753513293","1"
